subj,item,type,pos,word,correct,rt,region,type2,so
4,9,subj-ext,8,探員,-,310,headnoun,subject relative,-1
4,8,obj-ext,8,業餘選手,-,1753,headnoun,object relative,1
4,1,subj-ext,8,人,-,478,headnoun,subject relative,-1
4,3,subj-ext,8,婦人,-,334,headnoun,subject relative,-1
4,6,obj-ext,8,女孩,-,296,headnoun,object relative,1
4,2,obj-ext,8,車,-,245,headnoun,object relative,1
4,4,obj-ext,8,女孩,-,246,headnoun,object relative,1
4,16,obj-ext,8,記者,-,1449,headnoun,object relative,1
4,11,subj-ext,8,球員,-,301,headnoun,subject relative,-1
4,10,obj-ext,8,住戶,-,340,headnoun,object relative,1
4,7,subj-ext,8,狗,-,318,headnoun,subject relative,-1
4,5,subj-ext,8,轎車,-,270,headnoun,subject relative,-1
4,13,subj-ext,8,男人,-,198,headnoun,subject relative,-1
4,14,obj-ext,8,空服員,-,205,headnoun,object relative,1
4,15,subj-ext,8,演員,-,197,headnoun,subject relative,-1
40,4,obj-ext,8,女孩,-,462,headnoun,object relative,1
40,1,subj-ext,8,人,-,422,headnoun,subject relative,-1
40,3,subj-ext,8,婦人,-,421,headnoun,subject relative,-1
40,15,subj-ext,8,演員,-,461,headnoun,subject relative,-1
40,9,subj-ext,8,探員,-,390,headnoun,subject relative,-1
40,16,obj-ext,8,記者,-,294,headnoun,object relative,1
40,8,obj-ext,8,業餘選手,-,1509,headnoun,object relative,1
40,10,obj-ext,8,住戶,-,358,headnoun,object relative,1
40,2,obj-ext,8,車,-,318,headnoun,object relative,1
40,7,subj-ext,8,狗,-,356,headnoun,subject relative,-1
40,5,subj-ext,8,轎車,-,1262,headnoun,subject relative,-1
40,13,subj-ext,8,男人,-,318,headnoun,subject relative,-1
40,6,obj-ext,8,女孩,-,438,headnoun,object relative,1
40,14,obj-ext,8,空服員,-,278,headnoun,object relative,1
40,11,subj-ext,8,球員,-,390,headnoun,subject relative,-1
5,11,obj-ext,8,球員,-,431,headnoun,object relative,1
5,16,subj-ext,8,記者,-,2071,headnoun,subject relative,-1
5,4,subj-ext,8,女孩,-,278,headnoun,subject relative,-1
5,1,obj-ext,8,人,-,387,headnoun,object relative,1
5,5,obj-ext,8,轎車,-,624,headnoun,object relative,1
5,14,subj-ext,8,空服員,-,583,headnoun,subject relative,-1
5,15,obj-ext,8,演員,-,390,headnoun,object relative,1
5,13,obj-ext,8,男人,-,450,headnoun,object relative,1
5,8,subj-ext,8,業餘選手,-,1421,headnoun,subject relative,-1
5,3,obj-ext,8,婦人,-,1859,headnoun,object relative,1
5,9,obj-ext,8,探員,-,402,headnoun,object relative,1
5,10,subj-ext,8,住戶,-,377,headnoun,subject relative,-1
5,2,subj-ext,8,車,-,495,headnoun,subject relative,-1
5,7,obj-ext,8,狗,-,282,headnoun,object relative,1
5,6,subj-ext,8,女孩,-,279,headnoun,subject relative,-1
6,1,subj-ext,8,人,-,299,headnoun,subject relative,-1
6,6,obj-ext,8,女孩,-,414,headnoun,object relative,1
6,8,obj-ext,8,業餘選手,-,1003,headnoun,object relative,1
6,7,subj-ext,8,狗,-,322,headnoun,subject relative,-1
6,9,subj-ext,8,探員,-,355,headnoun,subject relative,-1
6,16,obj-ext,8,記者,-,841,headnoun,object relative,1
6,4,obj-ext,8,女孩,-,344,headnoun,object relative,1
6,3,subj-ext,8,婦人,-,629,headnoun,subject relative,-1
6,11,subj-ext,8,球員,-,526,headnoun,subject relative,-1
6,15,subj-ext,8,演員,-,339,headnoun,subject relative,-1
6,13,subj-ext,8,男人,-,369,headnoun,subject relative,-1
6,5,subj-ext,8,轎車,-,621,headnoun,subject relative,-1
6,2,obj-ext,8,車,-,218,headnoun,object relative,1
6,10,obj-ext,8,住戶,-,244,headnoun,object relative,1
6,14,obj-ext,8,空服員,-,193,headnoun,object relative,1
7,2,subj-ext,8,車,-,1609,headnoun,subject relative,-1
7,6,subj-ext,8,女孩,-,647,headnoun,subject relative,-1
7,1,obj-ext,8,人,-,374,headnoun,object relative,1
7,8,subj-ext,8,業餘選手,-,679,headnoun,subject relative,-1
7,11,obj-ext,8,球員,-,342,headnoun,object relative,1
7,4,subj-ext,8,女孩,-,318,headnoun,subject relative,-1
7,10,subj-ext,8,住戶,-,326,headnoun,subject relative,-1
7,7,obj-ext,8,狗,-,254,headnoun,object relative,1
7,15,obj-ext,8,演員,-,334,headnoun,object relative,1
7,16,subj-ext,8,記者,-,960,headnoun,subject relative,-1
7,9,obj-ext,8,探員,-,430,headnoun,object relative,1
7,13,obj-ext,8,男人,-,286,headnoun,object relative,1
7,3,obj-ext,8,婦人,-,309,headnoun,object relative,1
7,14,subj-ext,8,空服員,-,438,headnoun,subject relative,-1
7,5,obj-ext,8,轎車,-,270,headnoun,object relative,1
8,6,obj-ext,8,女孩,-,282,headnoun,object relative,1
8,13,subj-ext,8,男人,-,729,headnoun,subject relative,-1
8,16,obj-ext,8,記者,-,522,headnoun,object relative,1
8,8,obj-ext,8,業餘選手,-,1635,headnoun,object relative,1
8,9,subj-ext,8,探員,-,422,headnoun,subject relative,-1
8,10,obj-ext,8,住戶,-,1396,headnoun,object relative,1
8,5,subj-ext,8,轎車,-,299,headnoun,subject relative,-1
8,2,obj-ext,8,車,-,274,headnoun,object relative,1
8,11,subj-ext,8,球員,-,350,headnoun,subject relative,-1
8,7,subj-ext,8,狗,-,302,headnoun,subject relative,-1
8,3,subj-ext,8,婦人,-,327,headnoun,subject relative,-1
8,14,obj-ext,8,空服員,-,305,headnoun,object relative,1
8,4,obj-ext,8,女孩,-,429,headnoun,object relative,1
8,1,subj-ext,8,人,-,217,headnoun,subject relative,-1
8,15,subj-ext,8,演員,-,344,headnoun,subject relative,-1
9,10,subj-ext,8,住戶,-,1376,headnoun,subject relative,-1
9,2,subj-ext,8,車,-,903,headnoun,subject relative,-1
9,3,obj-ext,8,婦人,-,390,headnoun,object relative,1
9,14,subj-ext,8,空服員,-,358,headnoun,subject relative,-1
9,13,obj-ext,8,男人,-,382,headnoun,object relative,1
9,4,subj-ext,8,女孩,-,398,headnoun,subject relative,-1
9,5,obj-ext,8,轎車,-,342,headnoun,object relative,1
9,1,obj-ext,8,人,-,334,headnoun,object relative,1
9,9,obj-ext,8,探員,-,470,headnoun,object relative,1
9,6,subj-ext,8,女孩,-,374,headnoun,subject relative,-1
9,15,obj-ext,8,演員,-,406,headnoun,object relative,1
9,16,subj-ext,8,記者,-,342,headnoun,subject relative,-1
9,7,obj-ext,8,狗,-,478,headnoun,object relative,1
9,8,subj-ext,8,業餘選手,-,510,headnoun,subject relative,-1
9,11,obj-ext,8,球員,-,350,headnoun,object relative,1
