id,group,passive_count,word_count,I_liwc,I_c,wc_c
hzqgrz,dep,3,203,21,4.50621403912543,32.7640966628308
hzqfdf,dep,2,207,29,12.5062140391254,36.7640966628308
hzqf3x,dep,0,144,17,0.506214039125432,-26.2359033371692
hzqejj,dep,0,139,16,-0.493785960874568,-31.2359033371692
hzqdpo,dep,6,753,76,59.5062140391254,582.764096662831
hzqavn,dep,0,25,6,-10.4937859608746,-145.235903337169
hzqaqs,dep,1,149,21,4.50621403912543,-21.2359033371692
hzqamm,dep,2,224,33,16.5062140391254,53.7640966628308
hzq9a4,dep,0,248,33,16.5062140391254,77.7640966628308
hzq8ue,dep,1,143,13,-3.49378596087457,-27.2359033371692
hzq8t4,dep,6,376,35,18.5062140391254,205.764096662831
hzq7o7,dep,0,182,21,4.50621403912543,11.7640966628308
hzq2iw,dep,1,189,24,7.50621403912543,18.7640966628308
hzq2fs,dep,0,17,3,-13.4937859608746,-153.235903337169
hzq28p,dep,4,281,29,12.5062140391254,110.764096662831
hzq20i,dep,4,483,59,42.5062140391254,312.764096662831
hzpzef,dep,0,21,2,-14.4937859608746,-149.235903337169
hzpupm,dep,0,15,2,-14.4937859608746,-155.235903337169
hzpttg,dep,1,224,25,8.50621403912543,53.7640966628308
hzps98,dep,0,214,31,14.5062140391254,43.7640966628308
hzprm0,dep,0,166,22,5.50621403912543,-4.23590333716916
hzpqa3,dep,2,118,16,-0.493785960874568,-52.2359033371692
hzppnd,dep,0,89,5,-11.4937859608746,-81.2359033371692
hzpp37,dep,0,132,17,0.506214039125432,-38.2359033371692
hzpnw0,dep,0,68,5,-11.4937859608746,-102.235903337169
hzpmux,dep,0,188,28,11.5062140391254,17.7640966628308
hzplke,dep,1,302,34,17.5062140391254,131.764096662831
hzpjss,dep,1,184,29,12.5062140391254,13.7640966628308
hzpii3,dep,2,331,36,19.5062140391254,160.764096662831
hzphnd,dep,0,96,6,-10.4937859608746,-74.2359033371692
hzphdk,dep,4,709,73,56.5062140391254,538.764096662831
hzpf7p,dep,2,218,22,5.50621403912543,47.7640966628308
hzpawx,dep,2,261,25,8.50621403912543,90.7640966628308
hzp6qo,dep,0,208,26,9.50621403912543,37.7640966628308
hzp5hw,dep,0,39,4,-12.4937859608746,-131.235903337169
hzoyht,dep,0,176,22,5.50621403912543,5.76409666283084
hzovq4,dep,0,85,12,-4.49378596087457,-85.2359033371692
hzounf,dep,3,362,48,31.5062140391254,191.764096662831
hzotmd,dep,1,194,19,2.50621403912543,23.7640966628308
hzot7k,dep,0,12,1,-15.4937859608746,-158.235903337169
hzosf4,dep,0,64,10,-6.49378596087457,-106.235903337169
hzoqds,dep,0,33,2,-14.4937859608746,-137.235903337169
hzop81,dep,0,41,7,-9.49378596087457,-129.235903337169
hzoozg,dep,0,287,44,27.5062140391254,116.764096662831
hzomkf,dep,6,404,63,46.5062140391254,233.764096662831
hzom6c,dep,2,229,27,10.5062140391254,58.7640966628308
hzokp9,dep,3,426,40,23.5062140391254,255.764096662831
hzokcm,dep,0,97,6,-10.4937859608746,-73.2359033371692
hzojxj,dep,0,108,13,-3.49378596087457,-62.2359033371692
hzojhf,dep,0,8,0,-16.4937859608746,-162.235903337169
hzogvn,dep,0,78,10,-6.49378596087457,-92.2359033371692
hzoem0,dep,0,24,3,-13.4937859608746,-146.235903337169
hzobpe,dep,2,179,23,6.50621403912543,8.76409666283084
hzobfw,dep,1,246,22,5.50621403912543,75.7640966628308
hzo9ut,dep,0,340,26,9.50621403912543,169.764096662831
hzo8vg,dep,3,333,42,25.5062140391254,162.764096662831
hzo68r,dep,0,100,8,-8.49378596087457,-70.2359033371692
hzo1eu,dep,0,92,11,-5.49378596087457,-78.2359033371692
hzo0wl,dep,2,299,31,14.5062140391254,128.764096662831
hznyij,dep,1,133,15,-1.49378596087457,-37.2359033371692
hznyah,dep,2,388,46,29.5062140391254,217.764096662831
hznw83,dep,3,407,34,17.5062140391254,236.764096662831
hznra7,dep,4,260,14,-2.49378596087457,89.7640966628308
hznoiy,dep,0,86,12,-4.49378596087457,-84.2359033371692
hznkcs,dep,1,300,14,-2.49378596087457,129.764096662831
hzniq0,dep,2,217,20,3.50621403912543,46.7640966628308
hzngzl,dep,0,49,3,-13.4937859608746,-121.235903337169
hznggy,dep,1,143,18,1.50621403912543,-27.2359033371692
hzncqz,dep,0,35,3,-13.4937859608746,-135.235903337169
hzn9dt,dep,2,236,27,10.5062140391254,65.7640966628308
hzn8rm,dep,2,234,28,11.5062140391254,63.7640966628308
