state_ab,prop_boosted,mandate_type,prop_vacc_center
nh,0.0749579750946386,ban,0.160542361585576
nj,0.30677008486086,mandate,0.162940894830391
nm,0.375198935019895,mandate,0.144297745764124
nv,0.29241059613655,mandate,0.140408127099134
ny,0.265530056017745,mandate,0.172099047376718
ok,0.321732613380909,ban,0.134833651891795
or,0.364030252473098,mandate,0.166112754849226
pa,0.211846730666763,mandate,0.128243608973292
sc,0.33849194917979,ban,0.138084248597931
sd,0.340946372467458,ban,0.126411188126417
tn,0.392247413461727,ban,0.133837810973503
tx,0.291794266830998,ban,0.145920105013734
ut,0.339758758205605,ban,0.150180877404321
va,0.355871555498733,mandate,0.167666055288581
vt,0.456769236229415,mandate,0.172761109062893
wa,0.342391621847476,mandate,0.161548668370716
wi,0.425426378424199,mandate,0.14471120935362
wy,0.406227906161441,ban,0.113742886097321
ak,0.403139944263335,ban,0.132111918502223
al,0.338313856599106,ban,0.127325424483938
ar,0.391250853764679,ban,0.142265389387019
az,0.345678267990861,ban,0.15031057692016
ca,0.356462055888561,mandate,0.1721264717841
co,0.439400243915129,mandate,0.170418485813915
ct,0.385169763798097,mandate,0.185446707828443
de,0.375595472020629,mandate,0.16057840312491
fl,0.364049662313304,ban,0.173728259756756
ga,0.315135365056592,ban,0.136180780546178
ia,0.463753098097411,ban,0.142632524921039
id,0.433455280711865,ban,0.100217531883943
il,0.436490560831563,mandate,0.177615160595274
in,0.375641113073167,ban,0.130110855549087
ks,0.38219164703082,ban,0.143681777348668
ma,0.369764249829733,mandate,0.184334834432736
md,0.389085122806131,mandate,0.176141010096707
mi,0.426327157636602,ban,0.136084930492284
mn,0.502167984009974,mandate,0.1661272068438
mo,0.391145391881412,ban,0.140233254999714
mt,0.442307788708565,ban,0.131567429023347
nc,0.233254574570456,mandate,0.149880707114974
nd,0.438113032195306,ban,0.133853332699134
nh,0.104191513776574,ban,0.168043474084841
nj,0.348460603099013,mandate,0.170014673294915
nm,0.409378443368795,mandate,0.152217380129198
nv,0.322623718778433,mandate,0.145567360604952
ny,0.339424720541984,mandate,0.183025069114992
ok,0.350040632769101,ban,0.139780491871532
or,0.405126601804275,mandate,0.173273993160057
pa,0.244295317133023,mandate,0.137521088705524
sc,0.360316771180344,ban,0.14221830490292
sd,0.371538321016477,ban,0.13249609453918
tn,0.424519343025409,ban,0.138897067776688
tx,0.3182855361911,ban,0.151811883424944
ut,0.385028767282177,ban,0.160555348526326
va,0.390416400249661,mandate,0.175554022254881
vt,0.495409145094771,mandate,0.186585270088711
wa,0.382005268606761,mandate,0.170050814959714
wi,0.467539464358955,mandate,0.151758713153429
wy,0.432752070587494,ban,0.118855124786342
ak,0.416241423651707,ban,0.13540016641987
al,0.361419815593395,ban,0.130292161459676
ar,0.418631206034244,ban,0.146160901616518
az,0.362279468176763,ban,0.155165421199226
ca,0.393583712992839,mandate,0.178123937650413
co,0.477511626478082,mandate,0.175955154733979
ct,0.425671030566854,mandate,0.190034054244727
de,0.404894699384333,mandate,0.166623886610622
fl,0.393000379202911,ban,0.177609459228188
ga,0.34153428204603,ban,0.140093502190699
ia,0.498356858598078,ban,0.146607434585542
id,0.463556752768079,ban,0.102417358476708
il,0.482561536031266,mandate,0.182770847968448
in,0.398264148694143,ban,0.132781581499121
ks,0.415308091652849,ban,0.148491659693372
ma,0.416773612741574,mandate,0.190500686543284
md,0.426647578028846,mandate,0.181205767802942
mi,0.463665018832236,ban,0.140552142239976
mn,0.540296239391485,mandate,0.171259229613448
mo,0.425811135043642,ban,0.144470404365479
mt,0.471222859373736,ban,0.136726347671624
nc,0.251064602505169,mandate,0.155857042673561
nd,0.464497032927709,ban,0.138203807188001
nh,0.130491037913996,ban,0.173792588207716
nj,0.386906008794374,mandate,0.174931044524904
nm,0.439405783458679,mandate,0.157734543249916
nv,0.352881435492733,mandate,0.149567857929257
ny,0.382752840016028,mandate,0.18868304317675
ok,0.379431829389121,ban,0.143723848995067
or,0.443144125590071,mandate,0.178235323929647
pa,0.347165621818029,mandate,0.159949177816687
sc,0.390731328580089,ban,0.145910540028262
sd,0.397784191921919,ban,0.137387284966767
tn,0.441572480591792,ban,0.143404024549359
tx,0.347556620146858,ban,0.156199278913301
ut,0.420132136328374,ban,0.16744665676229
va,0.433331576338276,mandate,0.181569257239877
vt,0.536289351191646,mandate,0.196417685180529
wa,0.424344744452874,mandate,0.175757939722587
wi,0.50699060045323,mandate,0.156372681546798
wy,0.454152668101085,ban,0.123316786958575
ak,0.430444441433648,ban,0.137922500540219
al,0.382688547448947,ban,0.13308394795993
ar,0.435825583178042,ban,0.148838141256172
az,0.383459617094906,ban,0.158742372087105
ca,0.420329204952412,mandate,0.182365832891886
co,0.501734472123731,mandate,0.179899706591884
ct,0.454148844447519,mandate,0.193218716648167
de,0.424484723929463,mandate,0.170286416648274
fl,0.413910390978256,ban,0.180473780431932
ga,0.369787129274045,ban,0.143860031392192
ia,0.526348011028489,ban,0.149676985474483
id,0.476214652949309,ban,0.103619650708446
il,0.513050330472316,mandate,0.185244569071964
in,0.417499542158662,ban,0.134462175004257
ks,0.438639535956865,ban,0.151921781316543
ma,0.448994482997631,mandate,0.194434222112967
md,0.453643057149108,mandate,0.18451990095679
mi,0.48487101875462,ban,0.143380810720889
mn,0.563449160006504,mandate,0.174231958077346
mo,0.440419711992424,ban,0.146642908091944
mt,0.487605334506874,ban,0.138938724517496
nc,0.265291735881721,mandate,0.159642664151426
nd,0.480250713712302,ban,0.141090310155367
nh,0.159717527943246,ban,0.178781749441864
nj,0.413760887706707,mandate,0.178497723235522
nm,0.456811433110121,mandate,0.161242417076021
nv,0.375638848902896,mandate,0.152674386286267
ny,0.414635597100684,mandate,0.193008228359963
ok,0.400178966217621,ban,0.146750137092425
or,0.470299615007755,mandate,0.181105274266778
pa,0.394634112620915,mandate,0.169765644506572
sc,0.414207857074477,ban,0.148721477265512
sd,0.417658753779851,ban,0.141343996690882
tn,0.46582815743386,ban,0.145895596795694
tx,0.368845780773731,ban,0.159348487881006
