state_ab,flu_vacc_est,mandate_type,cvd_vac_prop_cent
ut,0.483134,ban,-0.0551373376564493
vt,0.5459,mandate,0.113372506471625
va,0.527511,mandate,0.0464956861931946
wa,0.486972,mandate,0.0448437782747837
wi,0.48207,mandate,-0.0112678422555815
wy,0.326426,ban,-0.144215693318319
al,0.3865,ban,-0.149373995442453
ak,0.364709,ban,-0.0527853501495501
az,0.386712,ban,-0.0368966740901501
ar,0.474631,ban,-0.102157935635901
ca,0.447073,mandate,0.0419832696957591
co,0.539528,mandate,0.0421203669204361
ct,0.623283,mandate,0.121502816780085
de,0.461736,mandate,0.0127248148684684
fl,0.324248,ban,0.0161575619978279
ga,0.389132,ban,-0.110765024688866
id,0.422195,ban,-0.162563873481
il,0.464216,mandate,0.0188393434706161
in,0.432842,ban,-0.096916788967444
ia,0.489654,ban,-0.03288158075975
ks,0.459148,ban,-0.0519129031326538
md,0.599653,mandate,0.071840299478387
ma,0.613081,mandate,0.112547038315454
mi,0.473072,ban,-0.0531396888447427
mn,0.513107,mandate,0.0296165150016968
mo,0.494553,ban,-0.0861941703041952
mt,0.418484,ban,-0.0836279590549615
nv,0.279936,mandate,-0.0558098307644036
nh,0.529904,ban,0.0440167388249585
nj,0.520285,mandate,0.056627012144138
nm,0.45218,mandate,0.038238211209645
ny,0.503326,mandate,0.0723359995766638
nc,0.461006,mandate,-0.0480827129731641
nd,0.479055,ban,-0.101803995223007
ok,0.384978,ban,-0.0812498184155851
or,0.422756,mandate,0.045362639671333
pa,0.534216,mandate,-0.0128611831098665
sc,0.388773,ban,-0.0805282813534992
sd,0.49896,ban,-0.0481331787205355
tn,0.439345,ban,-0.108182021672152
tx,0.452773,ban,-0.0499229661779784
ut,0.48413,ban,-0.0447628665344442
vt,0.5459,mandate,0.127196667497443
va,0.527747,mandate,0.0543836531594942
wa,0.498135,mandate,0.0533459248637815
wi,0.48207,mandate,-0.00422033845577308
wy,0.326426,ban,-0.139103454629299
al,0.386708,ban,-0.146407258466716
ak,0.364709,ban,-0.0494971022319032
az,0.386712,ban,-0.0320418298110839
ar,0.475483,ban,-0.0982624234064018
ca,0.449761,mandate,0.0479807355620728
co,0.544149,mandate,0.0476570358405004
ct,0.624294,mandate,0.126090163196369
de,0.483729,mandate,0.0187702983541809
fl,0.324293,ban,0.0200387614692598
ga,0.389132,ban,-0.106852303044344
id,0.422195,ban,-0.160364046888235
il,0.465384,mandate,0.02399503084379
in,0.432842,ban,-0.0942460630174103
ia,0.489654,ban,-0.0289066710952473
ks,0.492614,ban,-0.0471030207879495
md,0.634914,mandate,0.076905057184622
ma,0.644335,mandate,0.118712890426003
mi,0.473072,ban,-0.0486724770970508
mn,0.51946,mandate,0.0347485377713448
mo,0.512418,ban,-0.0819570209384299
mt,0.422263,ban,-0.0784690404066847
nv,0.279936,mandate,-0.0518093334400985
nh,0.53003,ban,0.0497658529478343
nj,0.523672,mandate,0.061543383374127
nm,0.453218,mandate,0.0437553743303634
ny,0.503963,mandate,0.0779939736384211
nc,0.463255,mandate,-0.0421063774145767
nd,0.481143,ban,-0.0974535207341404
ok,0.387952,ban,-0.0773064612920501
or,0.423736,mandate,0.0503239704409231
pa,0.538231,mandate,0.00956690600129584
sc,0.392951,ban,-0.076836046228157
sd,0.498967,ban,-0.0432419882929487
tn,0.439345,ban,-0.103675064899481
tx,0.461476,ban,-0.045535570689621
ut,0.48413,ban,-0.0378715582984807
vt,0.5459,mandate,0.137029082589261
va,0.527966,mandate,0.0603988881444904
wa,0.512495,mandate,0.0590530496266552
wi,0.48207,mandate,0.000393629937595952
wy,0.326426,ban,-0.134641792457065
al,0.419708,ban,-0.140891214700608
ak,0.387748,ban,-0.0442786814207083
az,0.418449,ban,-0.0249554862709437
ar,0.510219,ban,-0.0927940008687498
